Year,Month,Avg_Sales_Price,Avg_Copper_Price,Quantity_Sold
2007,1,1.2,3.74,114000
2007,2,1.11,3.74,175050
2007,3,1.08,4.18,279300
2007,4,1.18,5.0,361948
2007,5,1.31,4.93,112500
2007,6,1.32,4.83,93000
2007,7,1.25,5.11,181500
2007,8,1.26,4.74,166200
2007,9,1.2,4.92,105750
2007,10,1.17,5.1,139500
2007,11,1.13,4.41,96000
2007,12,1.05,4.23,84450
2008,1,1.05,4.53,139800
2008,2,1.0,5.07,156300
2008,3,1.09,5.33,205200
2008,4,1.15,5.46,83250
2008,5,1.17,5.2,83550
2008,6,1.15,5.07,74250
2008,7,1.12,5.13,93000
2008,8,1.11,4.66,78300
2008,9,1.12,4.26,81450
2008,10,1.1,3.03,75450
2008,11,1.0,2.37,89400
2008,12,1.02,1.98,117750
2009,1,0.89,2.09,72900
2009,2,0.82,2.1,53550
2009,3,0.77,2.4,45450
2009,4,0.72,2.85,57000
2009,5,0.75,2.91,47250
2009,6,0.75,3.16,43050
2009,7,0.76,3.34,50100
2009,8,0.79,3.91,84000
2009,9,0.83,3.93,63900
2009,10,0.89,3.98,83250
2009,11,0.89,4.2,53100
2009,12,0.9,4.33,25350
2010,1,0.91,4.63,115200
2010,2,0.96,4.27,23400
2010,3,0.98,4.67,43050
2010,4,0.99,4.84,29550
2010,5,0.99,4.3,42900
2010,6,0.99,4.01,93750
2010,7,0.92,4.21,94800
2010,8,0.91,4.51,85800
2010,9,0.94,4.79,87300
2010,10,0.98,5.12,126750
2010,11,1.02,5.16,116400
2010,12,1.1,5.56,97650
2011,1,1.09,5.82,92850
2011,2,1.14,6.07,102300
2011,3,1.16,5.82,93600
2011,4,1.18,5.7,59100
2011,5,1.16,5.41,40500
2011,6,1.14,5.47,34650
2011,7,1.1,5.83,71700
2011,8,1.08,5.37,79350
2011,9,1.06,4.89,148950
2011,10,1.05,4.42,114900
2011,11,1.1,4.48,68100
2011,12,1.03,4.5,71700
2012,1,1.03,4.81,75000
2012,2,1.02,5.02,96750
2012,3,1.06,5.02,82650
2012,4,1.06,4.83,53100
2012,5,1.05,4.66,53700
2012,6,1.06,4.38,91650
2012,7,1.0,4.51,37500
2012,8,1.0,4.44,64050
2012,9,0.98,4.81,91500
2012,10,0.97,4.75,98400
2012,11,1.01,4.56,56700
2012,12,1.7,4.73,44850
2013,1,0.98,4.79,46200
2013,2,0.98,4.73,35400
2013,3,0.97,4.49,42600
2013,4,0.95,4.23,65550
2013,5,0.94,4.28,92700
2013,6,0.91,4.09,37650
2013,7,0.9,4.04,84150
2013,8,0.91,4.24,71100
2013,9,0.91,4.21,62100
2013,10,0.92,4.25,69900
2013,11,0.93,4.13,81750
2013,12,0.89,4.26,32100
2014,1,0.9,4.23,85350
2014,2,0.91,4.12,58200
2014,3,0.93,3.83,72300
2014,4,0.93,3.87,44400
2014,5,0.9,3.94,130350
2014,6,0.89,3.92,37050
2014,7,0.9,4.09,117150
2014,8,0.89,3.99,69750
2014,9,0.88,3.91,76950
2014,10,0.88,3.82,39900
2014,11,0.88,3.78,74550
2014,12,0.9,3.66,63600
2015,1,0.89,3.31,84600
2015,2,0.89,3.28,42450
2015,3,0.87,3.4,78450
2015,4,0.89,3.46,19050
2015,5,0.89,3.59,40500
2015,6,0.88,3.32,48300
2015,7,0.88,3.07,56550
2015,8,0.88,2.89,45150
2015,9,0.87,2.93,82800
2015,10,0.87,2.95,50250
2015,11,0.87,2.68,22200
2015,12,0.86,2.59,18600
2016,1,0.87,2.49,21000
2016,2,0.86,2.59,24900
2016,3,0.84,2.79,42150
2016,4,0.83,2.7,36900
2016,5,0.84,2.61,27150
2016,6,0.83,2.6,39150
2016,7,0.84,2.71,32850
2016,8,0.83,2.63,33600
2016,9,0.82,2.63,26400
2016,10,0.81,2.63,33750
2016,11,0.82,3.06,34500
2016,12,0.84,3.16,7650
2017,1,0.85,3.23,21750
2017,2,0.85,3.3,24600
2017,3,0.84,3.24,31650
2017,4,0.84,3.14,52800
2017,5,0.85,3.12,47700
2017,6,0.85,3.18,58200
2017,7,0.84,3.32,34500
2017,8,0.84,3.6,44550
2017,9,0.85,3.65,47700
2017,10,0.86,3.81,17850
2017,11,0.88,3.72,14700
2017,12,0.88,3.67,22050
2018,1,0.89,3.85,66900
2018,2,0.9,3.81,110250
2018,3,0.89,3.66,52950
2018,4,0.9,3.69,66300
2018,5,0.9,3.67,92400
2018,6,0.91,3.7,46500
2018,7,0.91,3.32,31350
2018,8,0.91,3.17,56550
2018,9,0.9,3.23,34800
2018,10,0.9,3.27,42450
2018,11,0.88,3.26,148500
2018,12,0.88,3.24,35400
2019,1,0.89,3.15,104400
2019,2,0.89,3.38,67200
2019,3,0.89,3.41,65400
2019,4,0.9,3.41,25950
2019,5,0.89,3.19,45150
2019,6,0.88,3.13,39300
2019,7,0.87,3.13,51150
2019,8,0.87,3.0,53700
2019,9,0.86,3.05,16500
2019,10,0.85,3.04,35850
2019,11,0.84,3.08,36900
2019,12,0.85,3.18,28200
2020,1,0.84,3.18,35850
2020,2,0.82,2.97,59100
2020,3,0.83,2.74,44250
2020,4,0.84,2.69,41250
2020,5,0.81,2.78,29400
2020,6,0.81,3.04,34350
2020,7,0.81,3.36,27750
2020,8,0.88,3.39,16650
2020,9,0.89,3.5,43350
2020,10,0.9,3.54,31200
2020,11,0.91,3.71,24300
2020,12,0.93,4.03,34350
2021,1,1.02,4.11,31650
2021,2,1.03,4.38,46950
2021,3,1.23,4.61,107250
2021,4,1.33,4.62,36150
2021,5,1.43,5.15,600
2021,6,1.66,4.87,36750
2021,8,1.75,4.82,14550
2021,9,1.78,4.71,60000
2021,10,1.8,4.93,29400
2021,11,1.79,4.79,41400
2021,12,1.85,4.71,84600
2022,1,1.82,4.83,69900
2022,2,1.89,4.86,69000
2022,3,1.91,5.0,104850
2022,4,2.11,4.92,14100
2022,5,1.95,4.42,39000
2022,6,1.9,4.32,39450
2022,7,1.87,3.55,14250
2022,8,1.79,3.75,66750
2022,9,1.74,3.57,65550
2022,10,1.72,3.52,32250
2022,11,1.7,3.76,48600
2022,12,1.71,3.92,21900
2023,1,1.54,4.11,38250
2023,2,1.49,4.07,52350
2023,3,1.38,4.03,132900
2023,4,1.45,4.01,96450
2023,5,1.46,3.75,127350
2023,6,1.46,3.81,49800
2023,7,1.46,3.85,38100
2023,8,1.43,3.78,60900
2023,9,1.41,3.76,45900
2023,10,1.35,3.61,53400
2023,11,1.3,3.73,87900
2023,12,1.12,3.87,47100
2024,1,1.08,3.82,70650
2024,2,0.78,3.8,53550
2024,3,1.07,3.99,72450
2024,4,1.22,4.36,148350
2024,5,1.16,4.76,43500
2024,6,1.32,4.48,57450
2024,7,1.33,4.35,63600
2024,8,1.32,4.13,57600
2024,9,1.32,4.28,60000
2024,10,1.29,4.42,67350
2024,11,1.19,4.2,85800
2024,12,1.3,4.14,15750
2025,1,1.29,4.27,68850
2025,2,1.31,4.58,35850
